nomjoueur,position,nationalite,nomequipe,total_cartons,jaunes,rouges
Alisson,GK,br BRA,Liverpool,0,0,0
Caoimhín Kelleher,GK,ie IRL,Liverpool,0,0,0
Wataru Endo,"MF,DF",jp JPN,Liverpool,0,0,0
Federico Chiesa,FW,it ITA,Liverpool,0,0,0
Vitezslav Jaros,GK,cz CZE,Liverpool,0,0,0
Jayden Danns,MF,eng ENG,Liverpool,0,0,0
Dominic Solanke,FW,eng ENG,Tottenham Hotspur,0,0,0
Wilson Odobert,"FW,MF",fr FRA,Tottenham Hotspur,0,0,0
Kevin Danso,DF,at AUT,Tottenham Hotspur,0,0,0
Fraser Forster,GK,eng ENG,Tottenham Hotspur,0,0,0
